"gene_name","uniprot","hgnc_symbol","ensembl"
"CDC42EP5","Q6NZY7","CDC42EP5","ENSG00000273633"
"PTBP3","O95758","PTBP3","ENSG00000119314"
"SCIN","Q9Y6U3","SCIN","ENSG00000006747"
"FAM13B","Q9NYF5","FAM13B","ENSG00000031003"
"PNCK","Q6P2M8","PNCK","ENSG00000130822"
"CTSF","Q9UBX1","CTSF","ENSG00000174080"
"ASNSD1","Q9NWL6","ASNSD1","ENSG00000138381"
"TMEM181","Q9P2C4","TMEM181","ENSG00000146433"
"LAMA2","P24043","LAMA2","ENSG00000196569"
"DHRSX","Q8N5I4","DHRSX","ENSG00000169084"
"AIRE","O43918","AIRE","ENSG00000160224"
"AC015871.1","Q9HBF5","AC015871.1","ENSG00000180953"
"SNRPD1","P62314","SNRPD1","ENSG00000167088"
"ZBED1","O96006","ZBED1","ENSG00000214717"
"NRG2","O14511","NRG2","ENSG00000158458"
"KRTAP26-1","Q6PEX3","KRTAP26-1","ENSG00000197683"
"UBE2H","P62256","UBE2H","ENSG00000186591"
"ZNF302","Q9NR11","ZNF302","ENSG00000089335"
"DIO2","Q92813","DIO2","ENSG00000211448"
"UCMA","Q8WVF2","UCMA","ENSG00000165623"
"MTHFS","P49914","MTHFS","ENSG00000136371"
"DNASE1L3","Q13609","DNASE1L3","ENSG00000163687"
"SIDT2","Q8NBJ9","SIDT2","ENSG00000149577"
"ABR","Q12979","ABR","ENSG00000159842"
"HLA-C","P30499","HLA-C","ENSG00000237022"
"HLA-C","P30510","HLA-C","ENSG00000237022"
"HLA-C","Q29960","HLA-C","ENSG00000237022"
"HLA-DPB1","P04440","HLA-DPB1","ENSG00000215048"
"POP1","Q99575","POP1","ENSG00000104356"
"UTRN","P46939","UTRN","ENSG00000152818"
"FNDC11","Q9BVV2","FNDC11","ENSG00000125531"
"UBL7","Q96S82","UBL7","ENSG00000138629"
"LDB1","Q86U70","LDB1","ENSG00000198728"
"CCL11","P51671","CCL11","ENSG00000172156"
"NCAPD3","P42695","NCAPD3","ENSG00000151503"
"WDSUB1","Q8N9V3","WDSUB1","ENSG00000196151"
"TLX3","O43711","TLX3","ENSG00000164438"
"PNOC","Q13519","PNOC","ENSG00000168081"
"CT47A8","Q5JQC4","CT47A8","ENSG00000230347"
"PKD2L2","Q9NZM6","PKD2L2","ENSG00000078795"
"ANO9","A1A5B4","ANO9","ENSG00000185101"
"CCL8","P80075","CCL8","ENSG00000108700"
"DNAJC11","Q9NVH1","DNAJC11","ENSG00000007923"
"GABRD","O14764","GABRD","ENSG00000187730"
"CT47A7","Q5JQC4","CT47A7","ENSG00000228517"
"KRTAP9-4","Q9BYQ2","KRTAP9-4","ENSG00000262512"
"CT47A6","Q5JQC4","CT47A6","ENSG00000226023"
"TLR10","Q9BXR5","TLR10","ENSG00000174123"
"CRYGN","Q8WXF5","CRYGN","ENSG00000127377"
"ZBTB12","Q9Y330","ZBTB12","ENSG00000234196"
