,Germ.GC,Germ.PGC,Germ.oocyte,Germ.oogonia_STRA8,Germ.oogonia_meiotic,Germ.pre_oocyte,Somatic.CoelEpi_LHX9,Somatic.OSE,Somatic.early_supporting,Somatic.granulosa,Somatic.preGC_I,Somatic.preGC_IIa,Somatic.preGC_IIb
SCN7A,0.0,0.0,0.0,0.01,0.0,0.0,0.02,0.01,0.03,0.01,0.02,0.02,0.02
SCN8A,0.13,0.16,0.1,0.16,0.13,0.1,0.03,0.05,0.03,0.01,0.01,0.02,0.03
SCN9A,0.01,0.01,0.09,0.01,0.01,0.02,0.02,0.05,0.16,0.03,0.05,0.13,0.13
SCNM1,0.56,0.62,0.43,0.52,0.33,0.5,0.38,0.34,0.43,0.26,0.33,0.35,0.31
SCNN1A,0.01,0.02,0.07,0.03,0.03,0.15,0.01,0.01,0.0,0.0,0.0,0.0,0.0
SCNN1B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCNN1D,0.05,0.03,0.02,0.12,0.07,0.07,0.02,0.02,0.03,0.06,0.02,0.03,0.04
SCNN1G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCO1,0.64,0.72,0.31,0.63,0.47,0.45,0.28,0.22,0.27,0.14,0.2,0.21,0.16
SCO2,0.62,0.61,0.22,0.57,0.26,0.32,0.07,0.08,0.07,0.07,0.07,0.08,0.08
SCO2-1,0.01,0.02,0.02,0.04,0.03,0.06,0.01,0.01,0.01,0.0,0.0,0.01,0.0
SCOC,0.67,0.65,0.49,0.68,0.45,0.56,0.58,0.51,0.61,0.45,0.5,0.5,0.41
SCOC-AS1,0.23,0.13,0.11,0.25,0.13,0.23,0.03,0.03,0.03,0.0,0.02,0.03,0.03
SCP2,0.72,0.81,0.46,0.57,0.35,0.43,0.72,0.73,0.68,0.52,0.56,0.5,0.52
SCPEP1,0.75,0.78,0.16,0.3,0.08,0.15,0.26,0.23,0.36,0.69,0.51,0.44,0.6
SCRG1,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.01,0.0,0.0,0.0,0.0
SCRIB,0.15,0.18,0.1,0.16,0.17,0.13,0.16,0.22,0.16,0.12,0.15,0.18,0.18
SCRN1,0.42,0.45,0.3,0.35,0.28,0.36,0.25,0.24,0.35,0.39,0.26,0.33,0.33
SCRN2,0.25,0.21,0.26,0.33,0.04,0.11,0.32,0.32,0.38,0.31,0.29,0.31,0.29
SCRN3,0.27,0.29,0.4,0.41,0.45,0.58,0.12,0.12,0.09,0.12,0.09,0.11,0.11
SCRT1,0.01,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCRT2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCT,0.21,0.1,0.01,0.34,0.08,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCTR,0.01,0.0,0.0,0.0,0.0,0.04,0.32,0.04,0.01,0.0,0.0,0.0,0.0
SCUBE1,0.0,0.01,0.05,0.02,0.03,0.02,0.12,0.08,0.02,0.05,0.02,0.08,0.05
SCUBE2,0.03,0.12,0.0,0.02,0.03,0.03,0.01,0.0,0.0,0.01,0.01,0.0,0.0
SCUBE3,0.12,0.08,0.01,0.14,0.04,0.0,0.08,0.0,0.04,0.01,0.04,0.0,0.0
SCX,0.04,0.08,0.08,0.09,0.04,0.04,0.07,0.01,0.04,0.01,0.01,0.01,0.01
SCYGR2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCYGR4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCYL1,0.71,0.62,0.58,0.8,0.65,0.58,0.39,0.37,0.47,0.33,0.31,0.33,0.31
SCYL2,0.19,0.24,0.19,0.29,0.28,0.24,0.27,0.22,0.37,0.26,0.2,0.19,0.25
SCYL3,0.18,0.16,0.05,0.18,0.11,0.09,0.1,0.08,0.14,0.13,0.08,0.06,0.07
SDAD1,0.91,0.89,0.69,0.9,0.71,0.71,0.46,0.4,0.44,0.29,0.36,0.37,0.31
SDC1,0.32,0.2,0.03,0.32,0.1,0.06,0.21,0.17,0.06,0.01,0.02,0.06,0.02
SDC2,0.84,0.82,0.24,0.48,0.11,0.15,0.33,0.49,0.2,0.94,0.19,0.33,0.43
SDC3,0.04,0.04,0.01,0.02,0.01,0.02,0.08,0.11,0.07,0.07,0.04,0.05,0.07
SDC4,0.07,0.13,0.02,0.03,0.05,0.03,0.17,0.47,0.18,0.7,0.35,0.31,0.72
SDCBP,0.81,0.93,0.48,0.73,0.47,0.34,0.71,0.71,0.71,0.46,0.64,0.6,0.55
SDCBP2,0.04,0.03,0.03,0.04,0.07,0.18,0.02,0.01,0.02,0.01,0.01,0.01,0.01
SDCBP2-AS1,0.02,0.04,0.02,0.03,0.04,0.03,0.04,0.03,0.05,0.03,0.03,0.03,0.03
SDCCAG8,0.49,0.54,0.69,0.53,0.4,0.44,0.38,0.31,0.38,0.33,0.33,0.29,0.29
SDE2,0.28,0.35,0.36,0.34,0.28,0.28,0.17,0.15,0.26,0.15,0.17,0.14,0.18
SDF2,0.44,0.47,0.23,0.4,0.31,0.34,0.46,0.4,0.57,0.38,0.48,0.41,0.43
SDF2L1,0.89,0.81,0.71,0.96,0.82,0.77,0.35,0.31,0.23,0.06,0.16,0.22,0.21
SDF4,0.77,0.74,0.58,0.76,0.63,0.7,0.62,0.6,0.57,0.63,0.49,0.54,0.55
SDHA,0.86,0.85,0.6,0.89,0.72,0.61,0.5,0.5,0.45,0.49,0.42,0.4,0.39
SDHAF1,0.2,0.28,0.09,0.19,0.11,0.13,0.2,0.19,0.2,0.16,0.15,0.18,0.17
SDHAF2,0.08,0.15,0.09,0.09,0.11,0.07,0.13,0.09,0.16,0.06,0.1,0.12,0.13
SDHAF3,0.47,0.43,0.5,0.54,0.29,0.43,0.34,0.33,0.42,0.2,0.35,0.42,0.32
SDHAF4,0.34,0.34,0.21,0.31,0.18,0.25,0.17,0.13,0.19,0.08,0.13,0.12,0.09
SDHB,0.72,0.8,0.45,0.78,0.73,0.6,0.41,0.48,0.34,0.38,0.32,0.38,0.32
