,Endo.Arterial_EC,Endo.Fenestrated_EC,Endo.Glomerular_EC,Endo.Lymphatic_EC,Endo.Venous_EC,Endothelial,Epi.Epi_Mullerian,Epi.Epi_mesonephros,Epi.Epi_wolffian,Somatic.CoelEpi_LHX9,Somatic.FetalLeydig,Somatic.Gi,Somatic.Oi,Somatic.Sertoli,Somatic.Ti,Somatic.early_sPAX8,Somatic.early_supporting,Somatic.late_sPAX8,Somatic.preGC_I
ABCB7,0.19,0.28,0.33,0.24,0.17,0.26,0.31,0.37,0.41,0.22,0.27,0.29,0.17,0.17,0.16,0.17,0.23,0.17,0.18
ABCB8,0.09,0.1,0.13,0.11,0.05,0.1,0.12,0.22,0.21,0.13,0.29,0.15,0.1,0.13,0.1,0.09,0.14,0.09,0.11
ABCB9,0.18,0.03,0.03,0.01,0.03,0.07,0.03,0.06,0.07,0.06,0.1,0.06,0.05,0.13,0.04,0.05,0.07,0.03,0.06
ABCC1,0.2,0.15,0.16,0.2,0.08,0.17,0.18,0.15,0.17,0.23,0.5,0.21,0.09,0.33,0.13,0.17,0.37,0.09,0.21
ABCC10,0.09,0.09,0.1,0.13,0.05,0.1,0.08,0.11,0.13,0.06,0.24,0.09,0.06,0.09,0.07,0.09,0.11,0.05,0.08
ABCC11,0.0,0.01,0.02,0.0,0.0,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.0,0.0,0.01,0.02,0.0,0.0
ABCC12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCC2,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.01,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCC3,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.07,0.09,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.11,0.0
ABCC4,0.44,0.09,0.04,0.02,0.26,0.31,0.09,0.12,0.11,0.04,0.3,0.08,0.09,0.03,0.02,0.12,0.04,0.2,0.04
ABCC5,0.16,0.14,0.17,0.17,0.08,0.17,0.18,0.25,0.23,0.16,0.28,0.21,0.11,0.32,0.11,0.23,0.36,0.08,0.17
ABCC5-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCC6,0.0,0.01,0.01,0.03,0.01,0.02,0.05,0.14,0.56,0.02,0.03,0.02,0.04,0.0,0.04,0.01,0.01,0.02,0.05
ABCC8,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCC9,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.16,0.02,0.01,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0
ABCD1,0.06,0.08,0.05,0.05,0.03,0.06,0.04,0.07,0.1,0.04,0.2,0.08,0.04,0.16,0.04,0.05,0.09,0.04,0.06
ABCD2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.0,0.01,0.0,0.01
ABCD3,0.13,0.14,0.1,0.15,0.1,0.16,0.22,0.32,0.37,0.16,0.24,0.16,0.1,0.28,0.11,0.11,0.17,0.12,0.12
ABCD4,0.36,0.44,0.4,0.41,0.29,0.4,0.4,0.43,0.54,0.28,0.34,0.3,0.21,0.24,0.19,0.28,0.38,0.21,0.29
ABCE1,0.41,0.39,0.37,0.38,0.33,0.44,0.45,0.49,0.46,0.42,0.63,0.43,0.34,0.22,0.38,0.27,0.36,0.25,0.28
