,Endo.Arterial_EC,Endo.Fenestrated_EC,Endo.Glomerular_EC,Endo.Lymphatic_EC,Endo.Venous_EC,Endothelial,Epi.Epi_Mullerian,Epi.Epi_mesonephros,Epi.Epi_wolffian,Somatic.CoelEpi_LHX9,Somatic.FetalLeydig,Somatic.Gi,Somatic.Oi,Somatic.Sertoli,Somatic.Ti,Somatic.early_sPAX8,Somatic.early_supporting,Somatic.late_sPAX8,Somatic.preGC_I
EIF4G2,0.9,0.88,0.87,0.84,0.79,0.89,0.88,0.95,0.93,0.85,0.93,0.94,0.81,0.85,0.82,0.87,0.96,0.79,0.89
EIF4G3,0.38,0.44,0.47,0.42,0.25,0.44,0.45,0.5,0.45,0.36,0.54,0.46,0.29,0.41,0.27,0.32,0.55,0.21,0.32
EIF4H,0.67,0.77,0.79,0.67,0.67,0.75,0.85,0.87,0.85,0.75,0.77,0.84,0.69,0.46,0.6,0.65,0.8,0.62,0.66
EIF5,0.72,0.74,0.71,0.67,0.67,0.79,0.84,0.9,0.92,0.75,0.8,0.85,0.66,0.66,0.56,0.68,0.85,0.6,0.73
EIF5A,0.75,0.79,0.82,0.78,0.79,0.78,0.9,0.93,0.92,0.76,0.89,0.84,0.7,0.53,0.66,0.71,0.85,0.7,0.7
EIF5A2,0.06,0.02,0.02,0.09,0.05,0.05,0.05,0.08,0.05,0.03,0.04,0.03,0.02,0.05,0.02,0.02,0.04,0.03,0.01
EIF5AL1,0.01,0.01,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIF5B,0.62,0.6,0.61,0.57,0.5,0.61,0.68,0.68,0.74,0.6,0.79,0.58,0.44,0.6,0.44,0.5,0.67,0.43,0.51
EIF6,0.61,0.6,0.64,0.58,0.58,0.61,0.76,0.78,0.89,0.66,0.78,0.63,0.49,0.42,0.48,0.51,0.67,0.56,0.56
EIPR1,0.15,0.2,0.21,0.2,0.11,0.17,0.27,0.23,0.31,0.17,0.26,0.17,0.09,0.12,0.13,0.11,0.19,0.11,0.13
ELAC1,0.06,0.07,0.11,0.07,0.05,0.07,0.1,0.15,0.14,0.07,0.12,0.08,0.05,0.06,0.05,0.07,0.1,0.06,0.06
ELAC2,0.27,0.29,0.35,0.27,0.2,0.28,0.38,0.4,0.43,0.3,0.45,0.3,0.18,0.19,0.15,0.24,0.35,0.19,0.3
ELANE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELAVL1,0.52,0.58,0.6,0.57,0.46,0.58,0.79,0.78,0.79,0.65,0.62,0.78,0.5,0.53,0.42,0.61,0.81,0.47,0.62
ELAVL2,0.08,0.11,0.11,0.03,0.02,0.05,0.06,0.05,0.02,0.05,0.02,0.02,0.02,0.02,0.01,0.02,0.04,0.01,0.06
ELAVL3,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.04,0.01,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.0
ELAVL4,0.0,0.0,0.01,0.01,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
ELDR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELF1,0.42,0.48,0.45,0.52,0.32,0.41,0.48,0.3,0.45,0.2,0.3,0.18,0.15,0.19,0.15,0.14,0.2,0.13,0.15
ELF2,0.45,0.5,0.45,0.5,0.39,0.51,0.53,0.61,0.54,0.47,0.44,0.45,0.31,0.31,0.29,0.35,0.43,0.34,0.3
ELF3,0.0,0.0,0.01,0.01,0.0,0.02,0.72,0.48,0.77,0.02,0.01,0.01,0.0,0.01,0.0,0.07,0.1,0.02,0.16
ELF3-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01
ELF4,0.1,0.17,0.2,0.11,0.04,0.09,0.11,0.16,0.04,0.14,0.18,0.04,0.02,0.08,0.02,0.02,0.02,0.03,0.01
ELF5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELFN1,0.15,0.07,0.16,0.0,0.04,0.08,0.01,0.05,0.24,0.03,0.03,0.02,0.02,0.0,0.03,0.0,0.01,0.0,0.0
ELFN1-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.03,0.04,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.01
ELFN2,0.01,0.0,0.01,0.0,0.0,0.0,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
ELK1,0.13,0.16,0.14,0.17,0.15,0.31,0.26,0.3,0.27,0.36,0.72,0.69,0.62,0.39,0.54,0.49,0.64,0.32,0.7
ELK3,0.75,0.86,0.78,0.9,0.75,0.78,0.25,0.11,0.11,0.07,0.07,0.11,0.09,0.01,0.1,0.03,0.08,0.04,0.05
ELK4,0.25,0.27,0.23,0.37,0.13,0.23,0.09,0.14,0.16,0.08,0.19,0.11,0.06,0.1,0.1,0.08,0.14,0.06,0.07
ELL,0.1,0.11,0.11,0.09,0.06,0.11,0.11,0.13,0.18,0.07,0.13,0.09,0.06,0.08,0.05,0.05,0.09,0.06,0.08
ELL2,0.15,0.08,0.11,0.1,0.02,0.09,0.06,0.1,0.2,0.05,0.06,0.06,0.03,0.2,0.02,0.05,0.07,0.04,0.03
ELL3,0.0,0.0,0.0,0.01,0.0,0.01,0.02,0.01,0.02,0.01,0.04,0.0,0.0,0.01,0.0,0.0,0.01,0.01,0.01
ELMO1,0.54,0.38,0.46,0.46,0.27,0.35,0.02,0.01,0.03,0.16,0.14,0.05,0.04,0.14,0.01,0.14,0.41,0.02,0.28
ELMO1-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELMO2,0.13,0.13,0.16,0.11,0.09,0.15,0.12,0.22,0.19,0.13,0.21,0.18,0.12,0.16,0.13,0.19,0.26,0.16,0.17
ELMO3,0.02,0.02,0.04,0.02,0.01,0.02,0.1,0.02,0.13,0.04,0.07,0.0,0.0,0.01,0.0,0.0,0.01,0.01,0.01
ELMOD1,0.0,0.0,0.0,0.08,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.11,0.01,0.0,0.0,0.01,0.01,0.0,0.0
ELMOD2,0.16,0.16,0.18,0.14,0.09,0.15,0.27,0.31,0.36,0.21,0.15,0.2,0.08,0.16,0.09,0.17,0.27,0.13,0.12
ELMOD3,0.11,0.13,0.13,0.14,0.07,0.14,0.14,0.22,0.17,0.09,0.22,0.14,0.1,0.12,0.11,0.17,0.17,0.11,0.16
ELMSAN1,0.24,0.27,0.2,0.26,0.13,0.26,0.19,0.26,0.28,0.2,0.35,0.21,0.14,0.18,0.12,0.19,0.31,0.13,0.24
ELN,0.42,0.27,0.05,0.65,0.28,0.35,0.11,0.04,0.04,0.35,0.1,0.17,0.33,0.02,0.51,0.02,0.01,0.06,0.02
ELN-AS1,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELOA,0.21,0.23,0.32,0.2,0.14,0.24,0.2,0.27,0.32,0.17,0.32,0.24,0.15,0.15,0.14,0.14,0.23,0.12,0.15
ELOA-AS1,0.03,0.03,0.03,0.06,0.02,0.04,0.07,0.11,0.12,0.07,0.08,0.07,0.04,0.03,0.03,0.06,0.08,0.05,0.06
ELOA2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELOA3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELOB,0.9,0.89,0.92,0.87,0.91,0.89,0.97,0.96,0.97,0.94,0.98,0.91,0.9,0.89,0.91,0.93,0.98,0.95,0.94
ELOC,0.67,0.66,0.7,0.62,0.59,0.66,0.72,0.74,0.78,0.68,0.75,0.64,0.52,0.54,0.49,0.55,0.72,0.54,0.6
ELOF1,0.24,0.29,0.26,0.29,0.25,0.32,0.45,0.53,0.55,0.38,0.43,0.39,0.3,0.2,0.27,0.3,0.42,0.31,0.33
ELOVL1,0.5,0.52,0.58,0.58,0.43,0.42,0.37,0.47,0.53,0.23,0.47,0.2,0.16,0.17,0.16,0.17,0.21,0.3,0.16
ELOVL2,0.01,0.01,0.0,0.01,0.02,0.04,0.03,0.05,0.15,0.03,0.09,0.01,0.01,0.33,0.02,0.01,0.04,0.05,0.0
ELOVL2-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
ELOVL3,0.01,0.02,0.02,0.0,0.01,0.02,0.01,0.0,0.01,0.0,0.04,0.01,0.01,0.0,0.01,0.01,0.01,0.0,0.01
ELOVL4,0.01,0.01,0.02,0.0,0.01,0.03,0.04,0.07,0.14,0.05,0.05,0.09,0.07,0.03,0.05,0.04,0.09,0.03,0.05
ELOVL5,0.5,0.42,0.47,0.43,0.35,0.45,0.45,0.51,0.38,0.39,0.61,0.42,0.3,0.38,0.37,0.32,0.51,0.28,0.38
ELOVL6,0.05,0.05,0.13,0.04,0.02,0.05,0.15,0.13,0.25,0.15,0.19,0.12,0.05,0.05,0.05,0.04,0.16,0.05,0.05
ELOVL7,0.01,0.0,0.01,0.0,0.0,0.01,0.05,0.02,0.22,0.03,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.01,0.01
ELP1,0.12,0.14,0.17,0.17,0.08,0.15,0.17,0.22,0.2,0.13,0.37,0.17,0.09,0.31,0.11,0.12,0.18,0.14,0.11
ELP2,0.31,0.33,0.3,0.28,0.23,0.35,0.46,0.52,0.51,0.4,0.45,0.48,0.31,0.27,0.28,0.3,0.41,0.27,0.26
ELP3,0.19,0.22,0.21,0.24,0.14,0.22,0.31,0.28,0.4,0.22,0.26,0.27,0.16,0.14,0.13,0.19,0.26,0.12,0.17
ELP4,0.13,0.18,0.17,0.13,0.1,0.15,0.21,0.26,0.33,0.23,0.22,0.24,0.13,0.1,0.12,0.09,0.12,0.13,0.11
ELP5,0.31,0.36,0.3,0.38,0.29,0.38,0.56,0.55,0.54,0.42,0.5,0.52,0.36,0.33,0.3,0.34,0.44,0.3,0.33
ELP6,0.25,0.31,0.34,0.35,0.25,0.3,0.4,0.42,0.46,0.37,0.49,0.44,0.28,0.25,0.22,0.4,0.49,0.26,0.4
ELSPBP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.03,0.0,0.0,0.02,0.0,0.0,0.0,0.01,0.0,0.02,0.0
EMB,0.07,0.04,0.14,0.01,0.01,0.02,0.03,0.02,0.0,0.02,0.0,0.01,0.0,0.02,0.0,0.0,0.01,0.01,0.01
EMC1,0.16,0.21,0.21,0.2,0.11,0.21,0.23,0.28,0.32,0.18,0.29,0.24,0.16,0.17,0.15,0.14,0.24,0.11,0.15
EMC10,0.58,0.54,0.58,0.56,0.41,0.55,0.81,0.83,0.82,0.72,0.7,0.66,0.54,0.57,0.47,0.59,0.76,0.55,0.62
EMC2,0.27,0.32,0.35,0.33,0.24,0.31,0.43,0.49,0.59,0.33,0.43,0.38,0.26,0.24,0.25,0.25,0.3,0.27,0.29
EMC3,0.45,0.44,0.49,0.47,0.4,0.44,0.43,0.48,0.61,0.37,0.49,0.35,0.27,0.26,0.23,0.35,0.43,0.33,0.36
EMC4,0.63,0.67,0.64,0.63,0.61,0.65,0.77,0.79,0.84,0.72,0.72,0.71,0.61,0.47,0.58,0.61,0.75,0.62,0.68
EMC6,0.44,0.47,0.48,0.47,0.44,0.47,0.63,0.62,0.74,0.49,0.63,0.45,0.32,0.39,0.28,0.4,0.55,0.41,0.47
EMC7,0.43,0.46,0.57,0.48,0.36,0.43,0.46,0.59,0.68,0.37,0.59,0.4,0.35,0.34,0.37,0.31,0.43,0.35,0.38
EMC8,0.34,0.35,0.38,0.39,0.25,0.32,0.41,0.47,0.5,0.32,0.41,0.37,0.21,0.19,0.19,0.27,0.4,0.2,0.29
EMC9,0.13,0.19,0.18,0.2,0.11,0.15,0.31,0.27,0.32,0.24,0.32,0.3,0.12,0.2,0.11,0.18,0.3,0.17,0.24
EMCN,0.83,0.93,0.95,0.47,0.8,0.8,0.01,0.01,0.02,0.01,0.01,0.06,0.05,0.01,0.01,0.04,0.12,0.03,0.02
EMD,0.59,0.57,0.69,0.54,0.47,0.57,0.75,0.79,0.8,0.63,0.72,0.69,0.55,0.47,0.48,0.55,0.66,0.6,0.58
EME1,0.01,0.04,0.02,0.01,0.0,0.01,0.04,0.04,0.03,0.04,0.02,0.06,0.01,0.02,0.01,0.01,0.01,0.01,0.0
EME2,0.03,0.03,0.03,0.02,0.01,0.03,0.03,0.04,0.06,0.02,0.08,0.02,0.01,0.04,0.02,0.02,0.05,0.02,0.02
EMG1,0.09,0.08,0.07,0.09,0.09,0.09,0.08,0.04,0.09,0.08,0.14,0.06,0.06,0.09,0.07,0.05,0.06,0.12,0.05
EMG1-1,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMID1,0.2,0.17,0.43,0.26,0.14,0.21,0.48,0.65,0.65,0.21,0.33,0.17,0.08,0.17,0.06,0.1,0.09,0.26,0.09
EMILIN1,0.05,0.19,0.23,0.23,0.04,0.25,0.09,0.09,0.08,0.35,0.24,0.6,0.72,0.03,0.72,0.11,0.13,0.11,0.1
EMILIN2,0.03,0.04,0.05,0.05,0.03,0.08,0.09,0.16,0.12,0.25,0.13,0.19,0.15,0.07,0.13,0.11,0.16,0.11,0.09
EMILIN3,0.0,0.01,0.0,0.03,0.01,0.08,0.03,0.06,0.03,0.23,0.05,0.2,0.19,0.04,0.25,0.11,0.05,0.28,0.06
EML1,0.23,0.27,0.38,0.16,0.15,0.19,0.14,0.2,0.16,0.07,0.03,0.08,0.03,0.04,0.03,0.03,0.02,0.04,0.03
EML2,0.1,0.11,0.13,0.09,0.1,0.14,0.17,0.16,0.19,0.07,0.2,0.08,0.07,0.11,0.06,0.07,0.07,0.06,0.07
EML3,0.37,0.35,0.33,0.27,0.28,0.31,0.13,0.18,0.14,0.24,0.23,0.12,0.09,0.07,0.1,0.05,0.07,0.12,0.09
EML4,0.53,0.48,0.35,0.52,0.36,0.54,0.54,0.73,0.79,0.57,0.55,0.51,0.41,0.34,0.39,0.35,0.62,0.31,0.41
EML5,0.01,0.01,0.01,0.01,0.01,0.03,0.02,0.06,0.03,0.04,0.12,0.03,0.04,0.15,0.01,0.05,0.15,0.03,0.19
EML6,0.01,0.01,0.03,0.0,0.0,0.01,0.01,0.01,0.07,0.01,0.02,0.0,0.0,0.01,0.0,0.01,0.01,0.01,0.01
EMP1,0.87,0.58,0.64,0.33,0.74,0.73,0.24,0.04,0.05,0.06,0.03,0.04,0.07,0.0,0.03,0.01,0.01,0.08,0.0
EMP2,0.52,0.52,0.59,0.54,0.34,0.45,0.35,0.31,0.19,0.67,0.54,0.54,0.54,0.23,0.51,0.58,0.53,0.38,0.65
EMP3,0.6,0.41,0.42,0.14,0.61,0.68,0.56,0.61,0.24,0.72,0.7,0.85,0.77,0.55,0.79,0.73,0.76,0.81,0.74
EMSY,0.15,0.18,0.2,0.15,0.09,0.19,0.19,0.27,0.25,0.21,0.25,0.27,0.15,0.15,0.14,0.24,0.33,0.09,0.18
EMX1,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.43,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMX2,0.02,0.02,0.0,0.02,0.01,0.13,0.93,0.63,0.88,0.71,0.05,0.59,0.32,0.05,0.12,0.35,0.59,0.34,0.49
EMX2OS,0.01,0.01,0.0,0.01,0.01,0.08,0.75,0.42,0.8,0.47,0.04,0.4,0.19,0.03,0.05,0.14,0.32,0.17,0.28
EN1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EN2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENAH,0.45,0.39,0.37,0.14,0.48,0.61,0.61,0.65,0.6,0.45,0.74,0.58,0.38,0.5,0.35,0.52,0.6,0.42,0.42
ENAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENC1,0.15,0.32,0.23,0.2,0.16,0.32,0.26,0.32,0.52,0.42,0.61,0.41,0.44,0.13,0.63,0.29,0.63,0.1,0.31
ENDOD1,0.14,0.19,0.12,0.22,0.11,0.18,0.06,0.1,0.1,0.21,0.38,0.06,0.08,0.47,0.07,0.1,0.14,0.2,0.28
ENDOG,0.11,0.14,0.24,0.14,0.07,0.12,0.19,0.22,0.36,0.1,0.33,0.17,0.07,0.1,0.07,0.08,0.12,0.1,0.12
ENDOU,0.01,0.0,0.01,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
ENDOV,0.16,0.17,0.16,0.14,0.11,0.19,0.22,0.28,0.29,0.17,0.23,0.22,0.16,0.12,0.12,0.17,0.23,0.13,0.24
ENG,0.85,0.95,0.89,0.71,0.93,0.91,0.03,0.03,0.03,0.02,0.87,0.19,0.39,0.06,0.62,0.2,0.22,0.07,0.16
ENGASE,0.09,0.11,0.08,0.08,0.07,0.1,0.07,0.08,0.1,0.07,0.1,0.08,0.05,0.08,0.04,0.03,0.07,0.03,0.05
ENHO,0.01,0.01,0.01,0.02,0.02,0.08,0.09,0.05,0.03,0.02,0.04,0.03,0.02,0.47,0.03,0.05,0.07,0.2,0.03
ENKD1,0.1,0.11,0.13,0.08,0.05,0.11,0.15,0.26,0.28,0.11,0.19,0.13,0.06,0.06,0.04,0.09,0.15,0.07,0.09
ENKUR,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.17,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01
ENO1,0.82,0.84,0.84,0.88,0.82,0.87,0.98,0.93,0.98,0.89,0.98,0.91,0.82,0.85,0.73,0.76,0.91,0.84,0.84
ENO1-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.01,0.01,0.01
ENO2,0.05,0.02,0.03,0.01,0.01,0.03,0.27,0.11,0.19,0.08,0.02,0.01,0.03,0.05,0.01,0.03,0.03,0.06,0.08
ENO3,0.03,0.04,0.08,0.02,0.02,0.04,0.07,0.06,0.11,0.04,0.05,0.05,0.02,0.04,0.01,0.04,0.17,0.02,0.03
ENO4,0.0,0.01,0.01,0.01,0.01,0.01,0.05,0.11,0.06,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.01
ENOPH1,0.32,0.36,0.43,0.33,0.3,0.38,0.42,0.5,0.53,0.31,0.36,0.36,0.26,0.15,0.26,0.2,0.3,0.22,0.27
ENOSF1,0.22,0.33,0.34,0.58,0.22,0.32,0.38,0.46,0.49,0.29,0.4,0.29,0.19,0.29,0.12,0.18,0.32,0.21,0.23
ENOX1,0.01,0.01,0.01,0.02,0.01,0.06,0.03,0.1,0.07,0.12,0.18,0.24,0.16,0.02,0.2,0.12,0.17,0.08,0.07
ENOX1-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENOX1-AS2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENOX2,0.08,0.11,0.09,0.12,0.06,0.1,0.09,0.09,0.11,0.05,0.11,0.06,0.04,0.06,0.04,0.04,0.05,0.06,0.05
ENPEP,0.0,0.01,0.0,0.01,0.0,0.02,0.0,0.32,0.37,0.01,0.01,0.02,0.05,0.0,0.04,0.0,0.01,0.01,0.01
ENPP1,0.0,0.01,0.0,0.01,0.0,0.02,0.04,0.14,0.14,0.02,0.09,0.02,0.03,0.06,0.06,0.02,0.02,0.04,0.01
ENPP2,0.14,0.13,0.09,0.16,0.03,0.09,0.05,0.09,0.25,0.06,0.1,0.13,0.1,0.06,0.22,0.11,0.08,0.1,0.08
ENPP3,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.16,0.01,0.01,0.01,0.01,0.03,0.0,0.01,0.01,0.3,0.0
ENPP4,0.06,0.03,0.01,0.04,0.0,0.02,0.11,0.14,0.15,0.06,0.04,0.01,0.0,0.07,0.0,0.05,0.04,0.07,0.03
ENPP5,0.0,0.0,0.01,0.01,0.0,0.02,0.16,0.15,0.22,0.1,0.11,0.02,0.02,0.06,0.02,0.09,0.09,0.2,0.1
ENPP6,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.02,0.0,0.18,0.0,0.01,0.01,0.08,0.0,0.0,0.01,0.0
ENPP7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSA,0.58,0.61,0.63,0.68,0.53,0.57,0.75,0.77,0.82,0.56,0.69,0.55,0.45,0.44,0.43,0.4,0.58,0.45,0.48
ENTHD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENTPD1,0.6,0.74,0.2,0.06,0.6,0.6,0.01,0.0,0.01,0.01,0.18,0.03,0.01,0.0,0.02,0.01,0.0,0.01,0.0
ENTPD1-AS1,0.06,0.07,0.07,0.08,0.03,0.07,0.1,0.17,0.15,0.07,0.11,0.09,0.06,0.07,0.06,0.1,0.08,0.2,0.05
ENTPD2,0.17,0.01,0.0,0.02,0.0,0.06,0.07,0.02,0.18,0.16,0.03,0.01,0.08,0.0,0.31,0.0,0.0,0.03,0.0
ENTPD3,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.01,0.0,0.02,0.0,0.0,0.0,0.01,0.0
ENTPD3-AS1,0.07,0.06,0.05,0.08,0.04,0.06,0.06,0.07,0.12,0.03,0.08,0.03,0.02,0.04,0.03,0.02,0.03,0.05,0.02
ENTPD4,0.18,0.18,0.2,0.23,0.07,0.16,0.18,0.27,0.19,0.15,0.27,0.16,0.1,0.13,0.1,0.1,0.19,0.07,0.1
ENTPD5,0.05,0.07,0.08,0.09,0.03,0.06,0.1,0.14,0.4,0.06,0.13,0.07,0.05,0.06,0.05,0.05,0.06,0.05,0.05
ENTPD6,0.09,0.12,0.11,0.17,0.07,0.14,0.19,0.19,0.3,0.13,0.5,0.1,0.09,0.24,0.09,0.1,0.21,0.13,0.19
ENTPD7,0.03,0.04,0.06,0.05,0.03,0.03,0.06,0.09,0.12,0.05,0.06,0.06,0.03,0.01,0.02,0.03,0.06,0.01,0.02
ENTPD8,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
ENTR1,0.12,0.15,0.14,0.13,0.06,0.15,0.18,0.22,0.24,0.13,0.16,0.19,0.07,0.1,0.06,0.09,0.18,0.05,0.06
ENY2,0.77,0.76,0.69,0.83,0.75,0.78,0.87,0.84,0.89,0.81,0.85,0.79,0.63,0.64,0.55,0.75,0.91,0.64,0.78
EOGT,0.39,0.24,0.32,0.08,0.12,0.19,0.04,0.08,0.08,0.08,0.07,0.05,0.03,0.03,0.03,0.03,0.06,0.03,0.04
EOMES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EP300,0.29,0.32,0.31,0.29,0.16,0.33,0.32,0.39,0.44,0.26,0.39,0.36,0.2,0.39,0.21,0.26,0.41,0.18,0.24
EP300-AS1,0.01,0.02,0.01,0.0,0.02,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EP400,0.26,0.32,0.26,0.3,0.18,0.33,0.31,0.36,0.37,0.26,0.44,0.35,0.22,0.27,0.24,0.28,0.36,0.16,0.22
EPAS1,0.87,0.78,0.84,0.22,0.73,0.75,0.01,0.03,0.05,0.02,0.05,0.01,0.01,0.17,0.02,0.01,0.02,0.02,0.01
EPB41,0.12,0.16,0.12,0.24,0.11,0.2,0.3,0.24,0.35,0.23,0.14,0.28,0.13,0.1,0.12,0.2,0.33,0.07,0.19
EPB41L1,0.05,0.07,0.04,0.15,0.06,0.17,0.16,0.23,0.42,0.19,0.34,0.2,0.17,0.27,0.23,0.11,0.2,0.16,0.16
EPB41L2,0.42,0.43,0.44,0.72,0.23,0.41,0.21,0.17,0.11,0.19,0.66,0.31,0.41,0.19,0.43,0.14,0.22,0.2,0.21
EPB41L3,0.06,0.37,0.11,0.27,0.01,0.07,0.06,0.08,0.33,0.01,0.06,0.03,0.05,0.03,0.01,0.01,0.01,0.02,0.01
EPB41L4A,0.17,0.19,0.24,0.19,0.16,0.21,0.07,0.11,0.19,0.04,0.03,0.02,0.03,0.04,0.01,0.02,0.01,0.03,0.03
EPB41L4A-AS1,0.35,0.51,0.39,0.35,0.5,0.55,0.82,0.77,0.8,0.69,0.61,0.69,0.66,0.3,0.55,0.53,0.54,0.6,0.53
EPB41L4A-DT,0.03,0.02,0.03,0.02,0.02,0.02,0.01,0.01,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01
EPB41L4B,0.0,0.0,0.0,0.02,0.0,0.02,0.03,0.03,0.12,0.03,0.07,0.05,0.04,0.05,0.03,0.06,0.17,0.04,0.11
EPB41L5,0.12,0.11,0.13,0.11,0.05,0.14,0.36,0.68,0.68,0.18,0.17,0.23,0.12,0.15,0.1,0.19,0.32,0.12,0.21
EPB42,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.01,0.0
EPC1,0.55,0.6,0.55,0.58,0.51,0.66,0.68,0.71,0.72,0.62,0.67,0.71,0.61,0.48,0.62,0.62,0.74,0.53,0.64
EPC2,0.15,0.15,0.13,0.13,0.08,0.16,0.21,0.22,0.26,0.15,0.22,0.21,0.12,0.15,0.13,0.16,0.24,0.09,0.12
EPCAM,0.04,0.05,0.04,0.06,0.06,0.11,0.89,0.79,0.97,0.13,0.5,0.04,0.07,0.36,0.08,0.36,0.5,0.29,0.47
EPDR1,0.07,0.03,0.01,0.11,0.02,0.05,0.18,0.21,0.18,0.1,0.22,0.04,0.08,0.07,0.07,0.05,0.1,0.14,0.22
EPG5,0.12,0.11,0.09,0.11,0.06,0.11,0.1,0.11,0.16,0.09,0.16,0.09,0.06,0.12,0.07,0.09,0.12,0.05,0.09
EPGN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
